Policy,Benchmark,IPC,L1D_Miss_Rate,L2_Miss_Rate,L1D_Avg_Miss_Latency,L2_Avg_Miss_Latency,L2_Replacements,L2_Hits,L2_Misses,L2_Accesses,L2_Demand_Hits,L2_Demand_Misses,L2_Demand_Accesses,L2_Writebacks,L2_Tags_In_Use,L2_Avg_Occupancy,L2_Total_Refs,L2_Sampled_Refs,L2_Avg_Refs,L1D_Hits,L1D_Misses,L1D_Accesses,L1D_Replacements,Num_Cycles,Committed_Insts
lru,lbm,0.242592,0.080114,0.984969,101580.096477,101303.288657,6766395.0,103252.0,6766135.0,6869387.0,103252.0,6766135.0,6869387.0,6421003.0,32768.0,1.0,13803783.0,6799163.0,2.030218,79636714.0,6935698.0,86572412.0,6869256.0,0.0,
lru,leela,2.277815,0.00013,0.027105,16246.871741,87234.042553,50.0,1687.0,47.0,1734.0,1687.0,47.0,1734.0,50.0,32768.0,1.0,124120.0,32818.0,3.782071,14724828.0,1918.0,14726746.0,1731.0,0.0,
lru,mcf,1.429602,0.006462,0.303055,68616.846649,90902.62971,229246.0,602282.0,261892.0,864174.0,602282.0,261892.0,864174.0,227458.0,31711.806626,0.967768,1727330.0,262014.0,6.59251,62447005.0,406152.0,62853157.0,332769.0,139899072.0,
lru,nab,1.161817,0.004375,0.052787,43981.08252,81708.056108,29315.0,523209.0,29158.0,552367.0,523209.0,29158.0,552367.0,29219.0,32768.0,1.0,5216382.0,62083.0,84.022712,15812948.0,69486.0,15882434.0,46915.0,0.0,
lru,omnetpp,0.919788,0.040519,0.017675,15469.347998,83402.267379,22173.0,1228011.0,22096.0,1250107.0,1228011.0,22096.0,1250107.0,22053.0,32768.0,1.0,9887446.0,54941.0,179.964799,20498271.0,865637.0,21363908.0,532627.0,0.0,
lru,perlbench,0.616739,0.031351,0.031011,21222.356936,84464.759653,63450.0,1982631.0,63450.0,2046081.0,1982631.0,63450.0,2046081.0,54216.0,32768.0,1.0,15564158.0,96218.0,161.759317,20500708.0,663512.0,21164220.0,468700.0,0.0,
lru,xalancbmk,1.007539,0.133528,0.006495,13572.495378,84090.600688,11139.0,1690769.0,11054.0,1701823.0,1690769.0,11054.0,1701823.0,10889.0,32768.0,1.0,15370591.0,43907.0,350.071538,16433132.0,2532437.0,18965569.0,1164015.0,0.0,
lru,xz,2.017924,0.014124,1.0,73260.424621,74311.122233,42961.0,,42959.0,42959.0,,42959.0,42959.0,,32768.0,1.0,150968.0,75729.0,1.99353,14992265.0,214780.0,15207045.0,42957.0,0.0,
random,deepsjeng,0.032912,0.125,1.0,99108.930012,96608.933072,14285712.0,,14285712.0,14285712.0,,14285712.0,14285712.0,14285711.0,32768.0,1.0,28636448.0,14318480.0,1.999964,99999977.0,14285714.0,114285691.0,14285712.0,0.0,
random,exchange2,1.852123,1e-06,0.007179,16532.258065,84311.827957,0.0,12861.0,93.0,12954.0,12861.0,93.0,12954.0,,5533.807365,0.168878,243882.0,5559.0,43.87156,23652888.0,31.0,23652919.0,21.0,0.0,
random,imagick,1.996057,0.002714,0.726343,59174.065627,78764.689387,30382.0,11420.0,30311.0,41731.0,11420.0,30311.0,41731.0,30051.0,32768.0,1.0,172431.0,63150.0,2.730499,16598000.0,45164.0,16643164.0,41340.0,0.0,
random,lbm,0.206324,0.080403,0.987304,121607.396598,121527.347751,6784487.0,87234.0,6783629.0,6870863.0,87234.0,6783629.0,6870863.0,6421142.0,32768.0,1.0,13804976.0,6817255.0,2.025005,79621487.0,6961519.0,86583006.0,6870731.0,0.0,
random,leela,2.275155,0.00013,0.155709,25144.421272,87722.222222,293.0,1464.0,270.0,1734.0,1464.0,270.0,1734.0,244.0,32768.0,1.0,122776.0,33061.0,3.71362,14720109.0,1918.0,14722027.0,1731.0,0.0,
random,mcf,1.414549,0.006465,0.307804,71840.584578,93770.904217,235235.0,598158.0,265987.0,864145.0,598158.0,265987.0,864145.0,230529.0,31722.602672,0.968097,1726986.0,268003.0,6.443905,62460022.0,406413.0,62866435.0,332740.0,141387792.0,
random,nab,1.140178,0.004391,0.05321,50541.673238,95184.034157,29731.0,523025.0,29394.0,552419.0,523025.0,29394.0,552419.0,29114.0,32768.0,1.0,2302015.0,62499.0,36.832829,15813103.0,69745.0,15882848.0,46913.0,0.0,
random,omnetpp,0.910625,0.040521,0.019885,15983.021383,90391.120932,25408.0,1226828.0,24890.0,1251718.0,1226828.0,24890.0,1251718.0,21603.0,32768.0,1.0,5104215.0,58176.0,87.737469,20498854.0,865707.0,21364561.0,532676.0,0.0,
random,perlbench,0.602844,0.031427,0.038853,22747.562937,86855.100682,81657.0,1969322.0,79607.0,2048929.0,1969322.0,79607.0,2048929.0,56918.0,32768.0,1.0,5830931.0,114425.0,50.958541,20503149.0,665249.0,21168398.0,468903.0,0.0,
random,xalancbmk,0.993946,0.13342,0.010385,14002.572847,84795.383832,18273.0,1684474.0,17677.0,1702151.0,1684474.0,17677.0,1702151.0,12137.0,32768.0,1.0,8584004.0,51041.0,168.178602,16435687.0,2530454.0,18966141.0,1164082.0,0.0,
random,xz,2.016471,0.014124,0.998883,73676.24546,74797.6393,42913.0,48.0,42911.0,42959.0,48.0,42911.0,42959.0,3018.0,32768.0,1.0,150960.0,75681.0,1.994688,14992265.0,214780.0,15207045.0,42957.0,0.0,
